Question,Options,Correct Option,CourtEasy-v1 Response,Evaluation,Comments (Optional)
" In which case was a registered society held to be an ""authority"" for the purpose of Article 12?","Options:
A. Som Prakash vs. Union of India
B. Ajay Hasia vs. Khalid Mujib
C. Sukhdev vs. Bhagatram
D. R.D. Shetty vs. International Airport Authority",B,The case in which a registered society was held to be an 'authority' for the purpose of Article 12 is B. Ajay Hasia vs. Khalid Mujib.,Correct,
 The reports of the Comptroller and Auditor General of India relating to the accounts of a State shall be submitted to the __________.,"Options:
A. Governor
B. Committee on Public Undertakings
C. Estimates Committee
D. Public Accounts Committee",A,"The reports of the Comptroller and Auditor General of India relating to the accounts of a State shall be submitted to the Governor. Therefore, the correct option is A. Governor.",Correct,
 Which of the following Article of the Constitution of India declares that the Supreme Court shall be a court of record?,"Options:
A. Article 119
B. Article 111
C. Article 129
D. Article 135",C,The correct option is C. Article 129 of the Constitution of India declares that the Supreme Court shall be a court of record. This means that the Supreme Court has the power to keep its own records and its judgments are considered as authoritative and can be cited as precedents in future cases.,Correct,
" Which article deals with the powers, privileges, and immunities of Parliament and its members?","Options:
A. 107
B. 105
C. 108
D. 102",B,"Article 105 of the Indian Constitution deals with the powers, privileges, and immunities of Parliament and its members.",Correct,
 Which Constitutional Amendment Act inserted provisions related to GST?,"Options:
A. 99
B. 100
C. 101
D. 102",C,The Constitutional Amendment Act that inserted provisions related to GST is the 101st Amendment Act.,Correct,
 Who can initiate impeachment proceedings against the President of India?,"Options:
A. Either House of Parliament
B. Supreme Court
C. Only Lok Sabha
D. Rajya Sabha",A,"Impeachment proceedings against the President of India can be initiated by either House of Parliament. Therefore, the correct answer is A. Either House of Parliament.",Correct,
" Bhartiya Nyaya Sanhita, 2023 considers force to be ""Criminal Force"":","Options:
A. When it is used unintentionally.
B. When intentionally uses force only.
C. When it is used intentionally without consent, causing injury, fear or annoyance.
D. When it is used in self-defence.",C,"The Bhartiya Nyaya Sanhita, 2023 defines ""Criminal Force"" in a specific manner. According to the provisions of the code, criminal force is considered to be the use of force that is intentional and without the consent of the other party, which results in injury, fear, or annoyance. 

Therefore, the correct option is:

C. When it is used intentionally without consent, causing injury, fear or annoyance.

This definition emphasizes the intentional aspect of the force used and the lack of consent, which are critical elements in determining whether the force qualifies as criminal.",Correct,
" According to Bhartiya Nyaya Sanhita, 2023, what is the maximum fine for making or using a document that resembles a currency note or a bank note under Section 182(1)?","Options:
A. One hundred rupees
B. Five hundred rupees
C. Three hundred rupees
D. One thousand rupees",C,"The maximum fine for making or using a document that resembles a currency note or a bank note under Section 182(1) of the Bharatiya Nyaya Sanhita (New Criminal Code), 2023, is three hundred rupees. Therefore, the correct answer is C. Three hundred rupees.",Correct,
" Rajesh, in a heated argument with Sunil, strikes him with a heavy iron rod. The blow fractures Sunil's arm, and he is unable to use it for several weeks. The medical report confirms that the fracture amounts to grievous hurt. Which of the following offenses has Rajesh committed?","Options:
A. Simple hurt under Section 323 of IPC
B. Voluntarily causing grievous hurt under Section 325 of IPC
C. Voluntarily causing hurt under Section 324 of IPC
D. Attempt to commit culpable homicide under Section 308 of IPC",,"Rajesh has committed the offense of voluntarily causing grievous hurt under Section 325 of the Indian Penal Code (IPC). Since the act of striking Sunil with a heavy iron rod resulted in a fracture, it qualifies as grievous hurt, which is specifically addressed under Section 325 IPC.",Correct,Withdrawn
" Amit, intending to cause the death of Vijay, attacks him with a knife. Vijay sustains severe injuries and dies on the spot. The investigation reveals that Amit acted with the knowledge that his actions were likely to cause death. However, there is no evidence of premeditation or intent to murder Vijay. Which of the following offenses has Amit committed?","Options:
A. Murder under Section 302 of IPC
B. Culpable homicide not amounting to murder under Section 304 of IPC
C. Causing death by negligence under Section 304A of IPC
D. Voluntarily causing grievous hurt under Section 325 of IPC",B,"Amit's actions can be analyzed under the Indian Penal Code (IPC) provisions regarding homicide. 

1. **Murder under Section 302 IPC**: This section defines murder and requires the intention to kill or cause death. Since there is no evidence of premeditation or intent to murder, this option does not apply.

2. **Culpable homicide not amounting to murder under Section 304 IPC**: This section applies when a person causes death without the intention to kill but with the knowledge that such an act is likely to cause death. Given that Amit attacked Vijay with a knife and acted with the knowledge that his actions were likely to cause death, this option is applicable.

3. **Causing death by negligence under Section 304A IPC**: This section pertains to causing death by negligence, which does not apply here as Amit's actions were intentional, not negligent.

4. **Voluntarily causing grievous hurt under Section 325 IPC**: This section deals with causing grievous hurt, which does not apply since the act resulted in death.

Based on the analysis, the correct option is **B. Culpable homicide not amounting to murder under Section 304 IPC**.",Correct,
 Punishment for rape in cases where the victim is a woman below the age of 16 or 12 is included in which section of the BNS?,"Options:
A. 64
B. 65
C. 63
D. 72",B,"The punishment for rape in cases where the victim is a woman below the age of 16 is included in Section 65 of the Bharatiya Nyaya Sanhita (New Criminal Code), 2023. For cases where the victim is below the age of 12, it is included in Section 66.",Correct,
" Consider the following statements and answer the question given below: Mr. Patel being a police officer receives a complaint and information that Raju was involved in a robbery of bank and has also helped to hide the valuable properties in his farm, as stated by two villagers. With this regard, consider the following: The Police Officer Mr. Patel may arrest Raju without warrant when – (1) Raju can be arrested only if he commits a non-cognizable offence in the presence of Mr. Patel. (2) Since the reasonable complaint against Raju has been received and there is a strong suspicion exists due to the testimony of villagers, he can be immediately arrested. (3) Raju can be arrested only when he tries to escape or run away. (4) Raju can be arrested so as to prevent him from making any inducement, threat or promise to any person acquainted with facts and circumstances. Which of the above is/are the correct statement?","Options:
A. (1) and (3)
B. (2) and (4)
C. Only (4)
D. Only (2)",B,"Under the Criminal Procedure Code (CrPC) in India, a police officer has the authority to arrest without a warrant under certain conditions. 

1. A police officer can arrest without a warrant for a cognizable offence, which is a serious crime where the police can take action without a magistrate's order. Therefore, statement (1) is incorrect as it refers to non-cognizable offences.

2. Statement (2) is correct. If there is a reasonable complaint and strong suspicion based on credible information (like the testimony of villagers), the police officer can arrest Raju without a warrant.

3. Statement (3) is incorrect. While attempting to escape can be a reason for arrest, it is not a prerequisite for arresting someone for a cognizable offence.

4. Statement (4) is also correct. A police officer can arrest to prevent the accused from influencing witnesses or tampering with evidence.

Thus, the correct statements are (2) and (4).",Correct,
 BNSS introduced the provision of registration of FIR relating to commission of cognizable offense irrespective of area where the offense is committed. This FIR is known as __________.,"Options:
A. NCR
B. Zero FIR
C. False FIR
D. Counter FIR",B,"The FIR introduced under the Bharatiya Nyaya Sanhita (BNS) relating to the commission of a cognizable offense irrespective of the area where the offense is committed is known as a Zero FIR. Therefore, the correct answer is B. Zero FIR.",Correct,
 The BNSS mandates a forensic team to visit the crime scenes to collect evidence for offenses punishable with imprisonment for at least __________ years.,"Options:
A. 2
B. 4
C. 7
D. 5",C,The Bharatiya Nagarik Suraksha Sanhita (BNSS) mandates a forensic team to visit the crime scenes to collect evidence for offenses punishable with imprisonment for at least seven years,Correct,
 Which section of the BNSS allows for trials in absentia of proclaimed offenders?,"Options:
A. 251
B. 349
C. 356
D. 366",C,"The section of the Bharatiya Nagarik Suraksha Sanhita (BNSS) that allows for trials in absentia of proclaimed offenders is Section 356. Therefore, the correct answer is C. 356.",Correct,
 Which section of BNSS mandates the appointment of a designated police officer in each district and police station to provide information about arrested individuals to the general public?,"Options:
A. 25
B. 35
C. 37
D. 45",C,The section of the Bharatiya Nagarik Suraksha Sanhita (BNSS) that mandates the appointment of a designated police officer in each district and police station to provide information about arrested individuals to the general public is Clause 37. This clause requires the State Government to establish a police control room in every district and designate a police officer responsible for maintaining and displaying information about the names and addresses of persons arrested and the nature of the offences with which they are charged.,Correct,
" Which section of BNSS introduces provisions for identifying, attaching, and forfeiting the property of proclaimed offenders located outside India?","Options:
A. 74
B. 76
C. 84
D. 86",D,"The provisions for identifying, attaching, and forfeiting the property of proclaimed offenders located outside India are introduced in Clause 86 of the Bharatiya Nagarik Suraksha Sanhita (BNSS). This clause allows the Court to initiate the process of requesting assistance from a Court or authority in a contracting State for the identification, attachment, and forfeiture of property belonging to a proclaimed person.",Correct,
" Which section of BNSS places restrictions on the adjournment of trials, ensuring the expeditious resolution of cases?","Options:
A. 146
B. 246
C. 346
D. 356",C,"Clause 346 of the Bharatiya Nagarik Suraksha Sanhita (BNSS) places restrictions on the adjournment of trials, ensuring the expeditious resolution of cases. It mandates that the proceedings shall be continued on a day-to-day basis until all witnesses in attendance have been examined, unless the court finds it necessary to adjourn for specific reasons, which must be recorded.",Correct,
" A suit is pending in District Court A, but one of the parties, Meera, requests its transfer to District Court B, claiming that the judge in Court A is biased. The opposing party, Ravi, objects, stating that the request is baseless. Who has the authority to decide whether the suit can be transferred?","Options:
A. The District Court A where the suit is currently pending.
B. The High Court or the Supreme Court
C. The Civil Judge in District Court B
D. A committee of local advocates",B,"In the context of a suit pending in District Court A, the authority to decide whether the suit can be transferred due to alleged bias of the judge typically lies with the High Court or the Supreme Court. 

According to the Code of Civil Procedure, 1908, Section 24 allows the High Court to transfer cases from one court to another to ensure justice is served. The High Court has the power to intervene in cases where there are allegations of bias or other substantial reasons for transfer. 

Case law also supports this position. For instance, in the case of ""Smt. Sushma Sharma vs. State of Rajasthan,"" the High Court emphasized its role in ensuring fair trial rights and the necessity of transferring cases when there are valid concerns regarding the impartiality of the presiding judge.

Therefore, the correct answer is B. The High Court or the Supreme Court.",Correct,
" Maya files a suit in Court A for the recovery of a sum of money from her neighbour, Neha. During the proceedings, Neha requests that a third party, Seema, be added to the suit, as Seema is allegedly liable for the debt. Maya objects, claiming that Seema is not a necessary party. Court A then reviews the application and decides that Seema should indeed be included as a defendant. Which principle of the CPC is applied in this situation?","Options:
A. Order 1, Rule 10 – Joinder and Substitution of Parties
B. Order 7, Rule 11 – Rejection of Plaint
C. Order 5 – Service of Summons
D. Order 6, Rule 17 – Amendment of Pleadings",A,"In the situation described, where Neha requests the addition of a third party, Seema, to the suit filed by Maya, the relevant principle of the Code of Civil Procedure (CPC) that applies is A. Order 1, Rule 10 – Joinder and Substitution of Parties. This provision allows for the addition of parties to a suit when it is necessary for the effective adjudication of the matter.",Correct,
 Which section of the CPC allows for the appeal from original decrees?,"Options:
A. Section 96
B. Section 100
C. Section 115
D. Section 104",A,Section 96 of the Civil Procedure Code (CPC) allows for the appeal from original decrees.,Correct,
 Under which order of the CPC the procedure for summary suits is provided?,"Options:
A. Order XXXV
B. Order XXXVII
C. Order XXXIV
D. Order XXXVI",B,The procedure for summary suits is provided under Order XXXVII of the Civil Procedure Code (CPC).,Correct,
" Which section of the CPC deals with the principle of ""res judicata""?","Options:
A. Section 11
B. Section 10
C. Section 12
D. Section 9",A,"The principle of 'res judicata' is dealt with in Section 11 of the Civil Procedure Code (CPC). This section states that no court shall try any suit or issue in which the matter directly and substantially in issue has been directly and substantially in issue in a former suit between the same parties, and has been heard and finally decided by a competent court. 

The essence of 'res judicata' is to prevent the same issue from being litigated more than once, thereby promoting finality and judicial efficiency. It ensures that once a matter has been adjudicated, it cannot be re-litigated in subsequent proceedings.",Correct,
 __________ of the CPC provides for an interpleader suit.,"Options:
A. Section 88
B. Section 89
C. Section 92
D. Section 86",A,The section of the Civil Procedure Code (CPC) that provides for an interpleader suit is Section 88.,Correct,
 Which section of the CPC provides for the payment of compensatory costs?,"Options:
A. Section 35
B. Section 35 (A)
C. Section 35 (B)
D. Section 36",B,Section 35(A) of the Civil Procedure Code (CPC) provides for the payment of compensatory costs.,Correct,
 Which word is inserted in Section 22 of the BSA that was not present in Section 24 of the Evidence Act?,"Options:
A. Inducement
B. Coercion
C. Threat
D. Promise",B,The word that is inserted in Section 22 of the Bharatiya Sakshya Adhiniyam (BSA) that was not present in Section 24 of the Evidence Act is Coercion.,Correct,
 Existence of course of business when relevant is discussed in __________.,"Options:
A. Section 12 of the BSA, 2023
B. Section 13 of the BSA, 2023
C. Section 14 of the BSA, 2023
D. Section 15 of the BSA, 2023",C,"Existence of course of business when relevant is discussed in Section 14 of the Bharatiya Sanhita Act, 2023.",Correct,
" In a criminal trial, Rajesh is accused of theft. During the investigation, the police recover a stolen laptop from a location known to be frequented by Rajesh. His fingerprints are found on the laptop. According to the Bharatiya Sakshya Adhiniyam, 2023, how should the court interpret this piece of evidence?","Options:
A. The recovered laptop and fingerprints are automatically considered conclusive proof of Rajesh's guilt.
B. The recovered laptop and fingerprints are circumstantial evidence that can be considered along with other evidence, but do not by themselves prove guilt beyond reasonable doubt.
C. The evidence is inadmissible because the police did not obtain a search warrant before recovering the laptop.
D. The fingerprints must be verified by at least two independent forensic experts before being presented in court.",B,"In a criminal trial, the interpretation of evidence, including recovered items and fingerprints, is guided by the principles laid out in the Bharatiya Sakshya Adhiniyam, 2023 (Indian Evidence Act, 2023). 

The recovered laptop and fingerprints found on it are considered circumstantial evidence. This means that while they can contribute to establishing a case against Rajesh, they do not automatically prove his guilt. The court will evaluate this evidence in conjunction with other evidence presented during the trial to determine whether it meets the standard of proof beyond a reasonable doubt.

Therefore, the correct option is:

**B. The recovered laptop and fingerprints are circumstantial evidence that can be considered along with other evidence, but do not by themselves prove guilt beyond reasonable doubt.**

Options A, C, and D do not accurately reflect the legal standards for evidence interpretation under the Indian Evidence Act, 2023.",Correct,
" Where a document is executed in several parts like printing, lithography or photography, video recording, computer resource as a electronic or digital records, the BSA 2023 classifies each part as a","Options:
A. Primary evidence
B. Secondary evidence
C. Circumstantial evidence
D. Scientific evidence",A,"Each part of a document executed in several parts, such as those created by printing, lithography, photography, video recording, or stored as electronic or digital records, is classified as Primary evidence under the Bharatiya Sakshya Adhiniyam, 2023 (BSA 2023).",Correct,
 Which section of BSA provides that no court shall require any communication between the Ministers and the President of India to be produced before it?,"Options:
A. 65
B. 165
C. 268
D. 168",B,The section of the Bharatiya Sakshya Adhiniyam (BSA) that provides that no court shall require any communication between the Ministers and the President of India to be produced before it is Clause 165.,Correct,
" According to Section 46 of Bharatiya Sakshya Adhiniyam, when character evidence is relevant in civil cases?","Options:
A. Always relevant to prove conduct
B. Only when related to other relevant fact
C. Never relevant
D. Only in criminal cases",B,"According to Section 46 of the Bharatiya Sakshya Adhiniyam (BSA), character evidence in civil cases is relevant only when it appears from facts that are otherwise relevant. Therefore, the correct answer is B. Only when related to other relevant fact",Correct,
" As per Section 78(2) of the BSA 2023, presumption about the officer signing or certifying a document is:","Options:
A. The officer's signature is assumed to be forgery
B. The officer did not hold the claimed officer character at the time of signing
C. The officer held the official character claimed when signing or certifying the document
D. The document's authenticity is independent of the official's official character",C,"As per Section 78(2) of the Bharatiya Sakshya Adhiniyam (BSA) 2023, the presumption is that the officer held the official character claimed when signing or certifying the document. Therefore, the correct answer is C. The officer held the official character claimed when signing or certifying the document.",Correct,
" Under Section 146 of the BSA 2023, when the leading questions are permissible in the court proceedings?","Options:
A. Leading questions are always allowed during examination- in chief without restriction.
B. Leading questions are not allowed during cross-examination
C. Leading questions can be asked in an examination-in chief, re-examination, cross-examination without any objection.
D. Leading questions are permitted during cross-examination and when matters are introductory, undisputed, or sufficiently proved.",D,"Leading questions are permitted during cross-examination and when matters are introductory, undisputed, or sufficiently proved. Therefore, the correct answer is D.",Correct,
 Which of the following is a characteristic of mediation?,"Options:
A. The mediator imposes a binding decision.
B. It involves a neutral third party who facilitates negotiation between the parties.
C. The mediator acts as a judge and renders a verdict.
D. It is always court-ordered.",B,"In the Indian legal context, mediation is characterized by the involvement of a neutral third party who facilitates negotiation between the parties. This process is governed by the Arbitration and Conciliation Act, 1996, which emphasizes the voluntary nature of mediation and the role of the mediator as a facilitator rather than a decision-maker.

The correct option is B: ""It involves a neutral third party who facilitates negotiation between the parties."" 

To elaborate, in mediation, the mediator does not impose a binding decision (which rules out option A) nor does the mediator act as a judge rendering a verdict (which rules out option C). Additionally, mediation is not always court-ordered; it can be initiated voluntarily by the parties involved (which rules out option D). Thus, option B accurately reflects the essence of mediation in India.",Correct,
" A dispute arises between ABC Ltd. and XYZ Pvt. Ltd. regarding a contract that both parties had entered into. The agreement includes an arbitration clause, which states that any disputes shall be referred to arbitration. However, the parties fail to agree on the appointment of an arbitrator. Which of the following provisions of the Arbitration and Conciliation Act, 1996 would be applicable to resolve the issue of the appointment of an arbitrator?","Options:
A. The court will appoint an arbitrator under Section 11 if the parties fail to agree on one.
B. The parties must mutually select an arbitrator, and if they fail, the arbitration will not take place.
C. The arbitrator must be appointed by the Indian Council of Arbitration (ICA) in all cases.
D. The parties can resolve the appointment issue by opting for conciliation instead of arbitration.",A,"The applicable provision of the Arbitration and Conciliation Act, 1996 for the situation where the parties fail to agree on the appointment of an arbitrator is:

A. The court will appoint an arbitrator under Section 11 if the parties fail to agree on one.

Section 11 of the Arbitration and Conciliation Act, 1996 provides that if the parties fail to appoint an arbitrator, either party may apply to the court to appoint an arbitrator.",Correct,
 Which of the following is not an advantage of using ADR?,"Options:
A. It is generally faster than litigation.
B. It offers more confidentiality than traditional court cases.
C. It always results in a binding decision.
D. It is often less expensive than court proceedings.",C,"The correct option that is not an advantage of using Alternative Dispute Resolution (ADR) in the Indian legal context is C. It always results in a binding decision.

While ADR methods such as arbitration and mediation can lead to binding decisions, this is not universally true for all forms of ADR. For instance, mediation typically results in a non-binding agreement unless the parties choose to enter into a binding contract afterward. Therefore, it cannot be said that ADR always results in a binding decision.

In contrast, the other options highlight genuine advantages of ADR:
A. It is generally faster than litigation - ADR processes are typically quicker than the lengthy court proceedings.
B. It offers more confidentiality than traditional court cases - ADR proceedings are private, whereas court cases are generally public.
D. It is often less expensive than court proceedings - ADR can reduce costs associated with lengthy litigation.

Thus, the correct answer is C.",Correct,
" Kiran and Meera are involved in an arbitration, where Kiran was awarded Rs. 10 lakhs as compensation. Meera refuses to pay the amount, arguing that the award was not enforceable because of certain procedural irregularities in the arbitration process. Kiran decides to approach the court to enforce the arbitral award. Which of the following provisions of the Arbitration and Conciliation Act, 1996 governs the enforcement of an arbitral award?","Options:
A. Section 34 of the Act deals with the enforcement of an arbitral award.
B. Section 36 of the Act allows for the automatic enforcement of an arbitral award unless set-aside by the court.
C. Section 9 of the Act governs the enforcement of arbitral awards.
D. Section 11 of the Act deals with the enforcement of arbitral awards, not the appeal.",B,"The enforcement of an arbitral award is primarily governed by Section 36 of the Arbitration and Conciliation Act, 1996, which allows for the automatic enforcement of an arbitral award unless it has been set aside by the court. Therefore, the correct answer is B. Section 36 of the Arbitration and Conciliation Act, 1996 allows for the automatic enforcement of an arbitral award unless set-aside by the court.",Correct,
" Aarti and Rajesh have been married for five years. Over time, Aarti has been subjected to continuous cruelty by Rajesh, which has led to emotional and mental distress. Aarti decides to file for divorce on the grounds of cruelty under Section 13(1)(ia) of the Hindu Marriage Act, 1955. Which of the following statements is true regarding the grounds for divorce under the Hindu Marriage Act?","Options:
A. Aarti can only seek divorce on the grounds of adultery.
B. Aarti can seek divorce on the grounds of cruelty, as long as she proves mental or physical cruelty.
C. Aarti cannot seek divorce on the grounds of cruelty as it is not recognized under the Hindu Marriage Act.
D. Aarti must prove Rajesh's cruelty was intentional to succeed in the divorce petition.",B,"Aarti can seek divorce on the grounds of cruelty, as long as she proves mental or physical cruelty. Therefore, the correct statement is B. Under Section 13(1)(ia) of the Hindu Marriage Act, 1955, cruelty is recognized as a valid ground for divorce, and it encompasses both mental and physical forms of cruelty.",Correct,
" Nisha and Aakash are separated, and they both seek custody of their minor child, Aarav. Nisha has been the primary caregiver, while Aakash claims that he can provide better financial stability for Aarav. They both approach the court under the Guardian and Wards Act, 1890. Which of the following factors will the court primarily consider in determining the custody of Aarav?","Options:
A. The financial stability of both parents.
B. The gender of the child.
C. The welfare and best interests of the child.
D. The parent who is financially more stable is granted custody automatically.",C,"In determining the custody of a minor child under the Guardian and Wards Act, 1890, the court primarily considers the welfare and best interests of the child. This principle is enshrined in Section 17 of the Act, which states that the court shall have regard to the welfare of the minor in making any order regarding custody.

The factors that the court will consider include:

1. The age and sex of the child.
2. The character and capacity of the parents.
3. The wishes of the child, if the child is of sufficient age and understanding.
4. The financial stability of the parents, but this is not the sole determining factor.
5. The emotional and psychological well-being of the child.

Among the options provided:

A. The financial stability of both parents - While this is a consideration, it is not the primary factor.
B. The gender of the child - This is not a primary consideration in custody decisions.
C. The welfare and best interests of the child - This is the correct option and the primary factor considered by the court.
D. The parent who is financially more stable is granted custody automatically - This is incorrect as financial stability alone does not guarantee custody.

Therefore, the correct option is C. The welfare and best interests of the child.",Correct,
" The remedy of restitution of conjugal rights is given in Section __________ of Hindu Marriage Act, 1955.","Options:
A. 13
B. 11
C. 6
D. 9",D,"The remedy of restitution of conjugal rights is given in Section 9 of the Hindu Marriage Act, 1955. This section allows either spouse to file a petition for restitution of conjugal rights if the other spouse has withdrawn from the society of the petitioner without reasonable excuse. If the court is satisfied that the other spouse has indeed withdrawn, it may order the spouse to resume cohabitation.",Correct,
